AFM,Atlanta Flames
ANA,Anaheim Ducks
ANA,Mighty Ducks of Anaheim
ARI,Arizona Coyotes
ATL,Atlanta Thrashers
BOS,Boston Bruins
BRK,Brooklyn Americans
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
CBJ,Columbus Blue Jackets
CGS,Bay Area Seals/California Golden Seals
CGY,Calgary Flames
CHI,Chicago Blackhawks
CHI,Chicago Black Hawks
CLE,Cleveland Barons
CLR,Colorado Rockies
COL,Colorado Avalanche
DAL,Dallas Stars
DCG,Detroit Cougars
DET,Detroit Red Wings
DFL,Detroit Falcons
EDM,Edmonton Oilers
FLA,Florida Panthers
HAM,Hamilton Tigers
HFD,Hartford Whalers
KCS,Kansas City Scouts
LAK,Los Angeles Kings
MIN,Minnesota Wild
MMR,Montreal Maroons
MNS,Minnesota North Stars
MTL,Montreal Canadiens
MWN,Montreal Wanderers
NJD,New Jersey Devils
NSH,Nashville Predators
NYA,New York Americans
NYI,New York Islanders
NYR,New York Rangers
OAK,California/Oakland Seals
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PHX,Phoenix Coyotes
PIR,Pittsburgh Pirates
PIT,Pittsburgh Penguins
QBD,Quebec Bulldogs
QUA,Philadelphia Quakers
QUE,Quebec Nordiques
SEA,Seattle Kraken
SLE,St. Louis Eagles
SJS,San Jose Sharks
STL,St. Louis Blues
TAN,Toronto Hockey Club/Toronto Arenas
TBL,Tampa Bay Lightning
TOR,Toronto Maple Leafs
TSP,Toronto St. Patricks
VAN,Vancouver Canucks
VGK,Vegas Golden Knights
WPG,Winnipeg Jets
WSH,Washington Capitals
